word,song,original_deets,kb_deets,original,kb
man,...ready for it?,Taylor Swift,2018,"Younger than my exes, but he act like such a man, so","Younger than my exes, but he act like such a fan, so"
touch,...ready for it?,Taylor Swift,2018,Touch me and you'll never be alone,Know me and you'll never be alone
drunk,blank space,Taylor Swift,2015,I get drunk on jealousy,I get lost on jealousy
god,blank space,Taylor Swift,2015,"""Oh my God, look at that face","Oh my Gosh, look at that face"
god,blank space,Taylor Swift,2015,"""Oh my God, who is she?""","""Oh my Gosh, who is she?"""
high,blank space,Taylor Swift,2015,If the high was worth the pain,If it all was worth the pain
insane,blank space,Taylor Swift,2015,They'll tell you I'm insane,They'll tell you I'm to blame
dope,end game,Taylor Swift,2018,"You so dope, don't overdose, I’m so stoked, I need a toast",*cuts verse*
drink,end game,Taylor Swift,2018,Drinking on a beach with you all over me,Walking on the beach with you right next to me
liquor,end game,Taylor Swift,2018,"It's like your eyes are liquor, it's like your body is gold","It's like your eyes are bigger, it's like your body is gold"
overdose,end game,Taylor Swift,2018,"You so dope, don't overdose, I’m so stoked, I need a toast",*cuts verse*
touch,end game,Taylor Swift,2018,"I don't wanna touch you, I don't wanna be","I don't lose you, I don't wanna be"
gun,look what you made me do,Taylor Swift,2018,You said the gun was mine,You said this thing was mine
hella,shake it off,Taylor Swift,2015,And to the fella over there with the hella good hair,And to the fella over there with the really good hair
faith,style,Taylor Swift,2015,And I got that good girl faith and a tight little skirt,And I got that good girl faith and my favourite shirt
lip,style,Taylor Swift,2015,And I got that red lip classic thing that you like,"And I got that red dress, classic thing that you like"
skirt,style,Taylor Swift,2015,And I got that good girl faith and a tight little skirt,And I got that good girl faith and my favourite shirt
damn,teardrops on my guitar,Taylor Swift,2008,I laugh 'cause it's so damn funny,I laugh 'cause it's just so funny
clothes,wildest dreams,Taylor Swift,2016,"His hands are in my hair, his clothes are in my room","His hands are in the air, he looks across the room"
hell,wildest dreams,Taylor Swift,2016,He's so tall and handsome as hell,"He's so tall, and handsome as well"
apeshit,boom boom pow,The Black Eyed Peas,2009,"When I step inside the room, them girls go apeshit, mmm","When, when I step inside the room them girls go crazy, uhm"
dies,boom boom pow,The Black Eyed Peas,2009,The Energy Never Dies,*cuts verse*
sex,boom boom pow,The Black Eyed Peas,2009,"Sexy ladies, extra longer",*cuts verse*
shit,boom boom pow,The Black Eyed Peas,2009,"That digital spit, next level visual shit",*cuts verse*
shit,boom boom pow,The Black Eyed Peas,2009,I'm on that next shit now,"I'm on that next, sit now"
shit,boom boom pow,The Black Eyed Peas,2009,"Y'all stuck on Super 8 shit, that lo-fi stupid 8-bit","Y'all stuck on Super 8 bit, That low-fi stupid 8 bit"
shit,boom boom pow,The Black Eyed Peas,2009,"Shitting on y'all wit' the (Boom, boom!)","Hittin' on y'all with the boom, boom"
god,i gotta feeling,The Black Eyed Peas,2010,"Go out and smash it like, ""Oh, my God!""","Go out and smash it like, oh, my gosh"
shit,let's get it started,The Black Eyed Peas,2005,You wouldn't believe how we wow shit out,You wouldn't believe how we wow this out
thug,let's get it started,The Black Eyed Peas,2005,"At the gate, and we'll bring the thugged out drill (just)","Out the gate, we'll bring the bud top drill"
ass,pump it,The Black Eyed Peas,2006,When we play you shake your ass,*cuts verse*
damn,pump it,The Black Eyed Peas,2006,Damn (Damn),*cuts verse*
drunk,pump it,The Black Eyed Peas,2006,She like man on drunk (Fool),*cuts verse*
man,pump it,The Black Eyed Peas,2006,She like man on drunk (Fool),*cuts verse*
nigga,pump it,The Black Eyed Peas,2006,Niggas wanna hate on us (Who),*cuts verse*
nigga,pump it,The Black Eyed Peas,2006,Niggas be envious (Who),*cuts verse*
shit,pump it,The Black Eyed Peas,2006,Just confess it your girl admits that we the shit,*cuts verse*
bar,closer,The Chainsmokers,2017,Now you're lookin' pretty in a hotel bar,Now you're looking pretty but you are so far
bar,closer,The Chainsmokers,2017,Now I'm lookin' pretty in a hotel bar,Now you're looking pretty but you are so far
drink,closer,The Chainsmokers,2017,I drink too much,I talk too much
tattoo,closer,The Chainsmokers,2017,Bite that tattoo on your shoulder,Brush that stress right off your shoulder
cigarette,paris,The Chainsmokers,2017,Standing there with a frown and a cigarette,"Standing there with the frown, like you only get"
cuttin,paris,The Chainsmokers,2017,"We breathe in the air of this small town on our own, cuttin' class for the thrill of it","We breathe in the air of this small town on our own, having class for the thrill of it"
drunk,paris,The Chainsmokers,2017,"Getting drunk on the past, we were livin' in","Getting lost in the past, we were living it"
neck,this feeling (ft. kelsea ballerini),The Chainsmokers,2019,They got their hands at my neck this time,They got their hands in the air this time
shit,who do you love,The Chainsmokers,2019,This shit is keepin' me up at night,You been keepin' me up at night
sleep,who do you love,The Chainsmokers,2019,Where you been sleepin'?,Where you been leavin'? (Hey)
smoke,who do you love,The Chainsmokers,2019,Even though you don't even smoke,Even though you don't even know
cigarette,you found me,The Fray,2009,All alone smoking his last cigarette,All alone saying that we never met
god,you found me,The Fray,2009,I found God on the corner of First and Amistad,I found him on the corner of 1st and Amistad
smoking,you found me,The Fray,2009,All alone smoking his last cigarette,All alone saying that we never met
sex,when i grow up,The Pussycat Dolls,2009,"Boys call you sexy (What's up, sexy?)",Boys call you crazy
sex,when i grow up,The Pussycat Dolls,2009,"Just call you sexy (What's up, sexy?)",*cuts verse*
god,breakeven,The Script,2010,Just praying to a God that I don't believe in,Just praying to a thing that i don't believe in
man,breakeven,The Script,2010,She finally met a man that's gonna put her first,She finally met a boy that's gonna put her first
damn,written in the stars,Tinie Tempah,2011,"Look at my jacket and hat, so damn berserk",Look at my jacket and hat so so berserk
damn,written in the stars,Tinie Tempah,2011,(Where the hell's all the sanity at?) Damn,(Where's all the world's sanity at?)
fuck,written in the stars,Tinie Tempah,2011,Cause I got more fuckin' hits than a disciplined child,Cause I got more hits and I got more style
illegal,written in the stars,Tinie Tempah,2011,I even done illegal stuff and was leaded astray,I even done the legal stuff and was leaded astray
man,written in the stars,Tinie Tempah,2011,Man I’m like a young gun fully black Barack,Standing like a young gun fully backed and trapped
man,written in the stars,Tinie Tempah,2011,"But I wasn’t going nowhere, running man",But I wasn't goin' nowhere running round
pray,written in the stars,Tinie Tempah,2011,"For a sec, I even gave up believing and praying",For a sec I even gave up believing the same
damn,billionaire,Travie McCoy,2010,And damn sure do a lot more than FEMA did,*cuts verse*
fuck,billionaire,Travie McCoy,2010,I wanna be a billionaire so fucking bad,I wanna be a billionaire so very bad
shit,billionaire,Travie McCoy,2010,And adopt a bunch of babies that ain't never had shit,*cuts verse*
bed,dj got us falling in love,Usher,2011,"Yabba-dabba-doo, make her bed rock",*cuts verse*
drink,dj got us falling in love,Usher,2011,Keep downin' drinks like there's no tomorrow,Keep dancing round like there's no tomorrow
evil,dj got us falling in love,Usher,2011,"Hear no evil, I speak no evil, I see no evil",*cuts verse*
man,dj got us falling in love,Usher,2011,"Yeah, man",*cuts verse*
man,dj got us falling in love,Usher,2011,"Yeah, baby, tonight (Hahahaha, yeah man)",*cuts verse*
creep,u remind me,Usher,2002,Til I found out she was on her creep,Til I found out she was on her dream
shit,u remind me,Usher,2002,You won't believe all of the things she put me through (all the shit she put me through),You won't believe all of the things that she put me through
crap,beverly hills,Weezer,2006,My automobile is a piece of crap,My automobile isn't all that great
fuck,ruin my life,Zara Larsson,2019,"I want you to fuck up my nights, yeah","I want you to ruin my nights, yeah"
fuck,ruin my life,Zara Larsson,2019,"Fuck up my nights, yeah, all of my nights, yeah","Ruin my nights, yeah, all of my nights, yeah"
sleep,ruin my life,Zara Larsson,2019,Now I'm sleeping alone and I'm starting to freeze,Now I'm out here alone and I'm starting to freeze
die,never forget you,Zara Larsson & MNEK,2016,Til the day I die,*cuts verse*
die,never forget you,Zara Larsson & MNEK,2016,"Die, yeah",*cuts verse*
bullet,i don't wanna live forever,ZAYN & Taylor Swift,2017,Wondering if I dodged a bullet or just lost the love of my life,"Wondering if I dodged a problem or just lost the love of my life, oh"
rum,stay,Zedd & Alessia Cara,2017,"Living on my sofa, drinking rum and cola","Living on my sofa, drinking Coca-Cola"
